data,preco,^GSPC
2025-08-26,604972.1753121803,6465.93994140625
2025-08-26,605344.1279162106,6465.93994140625
2025-08-26,607796.4219027804,6465.93994140625
2025-08-27,607473.6793248396,6481.39990234375
2025-08-27,604912.5428719112,6481.39990234375
2025-08-27,604329.4523426667,6481.39990234375
2025-08-27,603959.3584225076,6481.39990234375
2025-08-27,605728.0789754881,6481.39990234375
2025-08-27,606220.1568871631,6481.39990234375
2025-08-27,604900.7374560479,6481.39990234375
2025-08-27,603006.2529114246,6481.39990234375
2025-08-27,601403.2815357195,6481.39990234375
2025-08-27,602836.9487139974,6481.39990234375
2025-08-27,603827.2553242187,6481.39990234375
2025-08-27,604306.1718474955,6481.39990234375
2025-08-27,607216.9697078539,6481.39990234375
2025-08-27,606419.8266022976,6481.39990234375
2025-08-27,607076.5368774193,6481.39990234375
2025-08-27,609406.2529733462,6481.39990234375
2025-08-27,608518.0618404046,6481.39990234375
2025-08-27,608618.5570950825,6481.39990234375
2025-08-27,609196.6493323835,6481.39990234375
2025-08-27,608015.8356896717,6481.39990234375
2025-08-27,606991.0136307415,6481.39990234375
2025-08-27,608449.1399246604,6481.39990234375
2025-08-27,603979.2984481142,6481.39990234375
2025-08-27,603762.2910974903,6481.39990234375
2025-08-28,602649.7029209463,6501.85986328125
2025-08-28,602937.2096785873,6501.85986328125
2025-08-28,605035.8595850779,6501.85986328125
2025-08-28,604067.0301224878,6501.85986328125
2025-08-28,606664.3117745696,6501.85986328125
2025-08-28,611928.8183565043,6501.85986328125
2025-08-28,611140.6901029717,6501.85986328125
2025-08-28,613354.4178210992,6501.85986328125
2025-08-28,612839.1592524046,6501.85986328125
2025-08-28,613628.0711372979,6501.85986328125
2025-08-28,611971.1336948932,6501.85986328125
2025-08-28,614182.0065063977,6501.85986328125
2025-08-28,612330.1485444265,6501.85986328125
2025-08-28,612601.1086926034,6501.85986328125
2025-08-28,611222.2141908272,6501.85986328125
2025-08-28,611817.5785600666,6501.85986328125
2025-08-28,610099.3207829852,6501.85986328125
2025-08-28,607896.5055344129,6501.85986328125
2025-08-28,607564.289734945,6501.85986328125
2025-08-28,607831.4234206575,6501.85986328125
2025-08-28,605785.4442257802,6501.85986328125
2025-08-28,605699.2232953308,6501.85986328125
2025-08-28,606962.2064146459,6501.85986328125
2025-08-28,608466.9242734584,6501.85986328125
2025-08-29,609199.9111812008,6460.259765625
2025-08-29,607325.1084856706,6460.259765625
2025-08-29,603617.829621831,6460.259765625
2025-08-29,603365.5966760133,6460.259765625
2025-08-29,604931.3453474025,6460.259765625
2025-08-29,603939.5264029213,6460.259765625
2025-08-29,602703.8664821875,6460.259765625
2025-08-29,602508.4860762928,6460.259765625
2025-08-29,596021.7068560425,6460.259765625
2025-08-29,594468.8712526254,6460.259765625
2025-08-29,596047.1201397293,6460.259765625
2025-08-29,596531.6391312989,6460.259765625
2025-08-29,597147.2994639379,6460.259765625
2025-08-29,600615.3366148365,6460.259765625
2025-08-29,592206.1894998424,6460.259765625
2025-08-29,587340.0745191687,6460.259765625
2025-08-29,588838.372223611,6460.259765625
2025-08-29,589926.807543419,6460.259765625
2025-08-29,589049.3054484166,6460.259765625
2025-08-29,586395.1693653609,6460.259765625
2025-08-29,587406.6594670692,6460.259765625
2025-08-29,584725.1311007041,6460.259765625
2025-08-29,589015.638716561,6460.259765625
2025-08-29,588049.0752581619,6460.259765625
2025-09-02,594205.8391333877,6415.5400390625
2025-09-02,592612.1910509787,6415.5400390625
2025-09-02,594987.7321392696,6415.5400390625
2025-09-02,599151.6578397868,6415.5400390625
2025-09-02,600147.9912412612,6415.5400390625
2025-09-02,599928.3398282994,6415.5400390625
2025-09-02,599486.2944110131,6415.5400390625
2025-09-02,600372.5297853114,6415.5400390625
2025-09-02,599490.0399875586,6415.5400390625
2025-09-02,601251.7759767529,6415.5400390625
2025-09-02,600833.191408941,6415.5400390625
2025-09-02,600589.5540925158,6415.5400390625
2025-09-02,599060.1172942371,6415.5400390625
2025-09-02,598002.561600937,6415.5400390625
2025-09-02,608187.1839027824,6415.5400390625
2025-09-02,607083.111538232,6415.5400390625
2025-09-02,605272.6242718296,6415.5400390625
2025-09-02,603134.4457359891,6415.5400390625
2025-09-02,605100.3480279641,6415.5400390625
2025-09-02,605761.7530109417,6415.5400390625
2025-09-02,606346.8217019528,6415.5400390625
2025-09-02,608940.99520703,6415.5400390625
2025-09-02,608226.4939309687,6415.5400390625
2025-09-02,608244.4405216775,6415.5400390625
2025-09-03,608154.700987495,6448.259765625
2025-09-03,608819.0335647459,6448.259765625
2025-09-03,608483.5328300102,6448.259765625
2025-09-03,609517.9069483845,6448.259765625
2025-09-03,607440.2027753752,6448.259765625
2025-09-03,607180.0348940562,6448.259765625
2025-09-03,605354.0619678542,6448.259765625
2025-09-03,605505.0810560782,6448.259765625
2025-09-03,608937.9190647647,6448.259765625
2025-09-03,610655.7350999409,6448.259765625
2025-09-03,608366.6054260667,6448.259765625
2025-09-03,609449.8546024205,6448.259765625
2025-09-03,610096.8119629677,6448.259765625
2025-09-03,605286.2582169928,6448.259765625
2025-09-03,608313.2231966476,6448.259765625
2025-09-03,610818.0070601832,6448.259765625
2025-09-03,612885.4605862551,6448.259765625
2025-09-03,611080.252012836,6448.259765625
2025-09-03,613551.8660755666,6448.259765625
2025-09-03,611328.288685416,6448.259765625
2025-09-03,611744.908826831,6448.259765625
2025-09-03,611774.4602642546,6448.259765625
2025-09-03,610356.0041945933,6448.259765625
2025-09-03,610181.2348314504,6448.259765625
2025-09-04,609180.5814527489,6502.080078125
